,lon,lat,Id,ltype,points,Y,X,Type,Name,Source,x_pixel,y_pixel,elev
0,88.04372980531294,41.020015375182595,0,1111,"88.043729805312935,41.020015375182595 88.30150718093671,40.815115409943182 88.473358764685898,40.76223799955882 88.684868406223359,40.7159702654725 88.988913515933461,40.709360589174459 89.43837150420056,40.7159702654725 89.696148879824335,40.808505733645141 89.848171434679386,40.88121217292364",40.710858262,88.9200205665,thrust,,,6490.495163672611,6484.803694027619,1015
1,88.30150718093671,40.81511540994318,0,1111,"88.043729805312935,41.020015375182595 88.30150718093671,40.815115409943182 88.473358764685898,40.76223799955882 88.684868406223359,40.7159702654725 88.988913515933461,40.709360589174459 89.43837150420056,40.7159702654725 89.696148879824335,40.808505733645141 89.848171434679386,40.88121217292364",40.710858262,88.9200205665,thrust,,,6552.361733832216,6435.6277023622915,845
2,88.4733587646859,40.76223799955882,0,1111,"88.043729805312935,41.020015375182595 88.30150718093671,40.815115409943182 88.473358764685898,40.76223799955882 88.684868406223359,40.7159702654725 88.988913515933461,40.709360589174459 89.43837150420056,40.7159702654725 89.696148879824335,40.808505733645141 89.848171434679386,40.88121217292364",40.710858262,88.9200205665,thrust,,,6593.60611393862,6422.937123868014,891
3,88.68486840622336,40.7159702654725,0,1111,"88.043729805312935,41.020015375182595 88.30150718093671,40.815115409943182 88.473358764685898,40.76223799955882 88.684868406223359,40.7159702654725 88.988913515933461,40.709360589174459 89.43837150420056,40.7159702654725 89.696148879824335,40.808505733645141 89.848171434679386,40.88121217292364",40.710858262,88.9200205665,thrust,,,6644.368427915732,6411.83286768552,831
4,88.98891351593346,40.70936058917446,0,1111,"88.043729805312935,41.020015375182595 88.30150718093671,40.815115409943182 88.473358764685898,40.76223799955882 88.684868406223359,40.7159702654725 88.988913515933461,40.709360589174459 89.43837150420056,40.7159702654725 89.696148879824335,40.808505733645141 89.848171434679386,40.88121217292364",40.710858262,88.9200205665,thrust,,,6717.339254257832,6410.246545373737,868
5,89.43837150420056,40.7159702654725,0,1111,"88.043729805312935,41.020015375182595 88.30150718093671,40.815115409943182 88.473358764685898,40.76223799955882 88.684868406223359,40.7159702654725 88.988913515933461,40.709360589174459 89.43837150420056,40.7159702654725 89.696148879824335,40.808505733645141 89.848171434679386,40.88121217292364",40.710858262,88.9200205665,thrust,,,6825.209171459195,6411.83286768552,899
6,89.69614887982434,40.80850573364514,0,1111,"88.043729805312935,41.020015375182595 88.30150718093671,40.815115409943182 88.473358764685898,40.76223799955882 88.684868406223359,40.7159702654725 88.988913515933461,40.709360589174459 89.43837150420056,40.7159702654725 89.696148879824335,40.808505733645141 89.848171434679386,40.88121217292364",40.710858262,88.9200205665,thrust,,,6887.0757416188,6434.0413800505075,972
7,89.84817143467939,40.88121217292364,0,1111,"88.043729805312935,41.020015375182595 88.30150718093671,40.815115409943182 88.473358764685898,40.76223799955882 88.684868406223359,40.7159702654725 88.988913515933461,40.709360589174459 89.43837150420056,40.7159702654725 89.696148879824335,40.808505733645141 89.848171434679386,40.88121217292364",40.710858262,88.9200205665,thrust,,,6923.56115478985,6451.490925480139,1013
8,86.55655263825268,41.62810559460279,1,1111,"86.556552638252683,41.628105594602793 86.72840422200187,41.528960450132104 86.959742892433468,41.416595953065332 87.250568649547475,41.310841132296602 87.501736348873209,41.277792750806377 87.706636314112615,41.277792750806377 88.037120129014895,41.291012103402466 88.281678152042574,41.350499190084875 88.466749088387857,41.376937895277059 88.579113585454635,41.376937895277059 88.737745816607728,41.383547571575107",41.2777927508,87.6152601656,thrust,,,6133.572643521043,6630.745346711817,1450
9,86.72840422200187,41.528960450132104,1,1111,"86.556552638252683,41.628105594602793 86.72840422200187,41.528960450132104 86.959742892433468,41.416595953065332 87.250568649547475,41.310841132296602 87.501736348873209,41.277792750806377 87.706636314112615,41.277792750806377 88.037120129014895,41.291012103402466 88.281678152042574,41.350499190084875 88.466749088387857,41.376937895277059 88.579113585454635,41.376937895277059 88.737745816607728,41.383547571575107",41.2777927508,87.6152601656,thrust,,,6174.817023627447,6606.950512035044,1310
10,86.95974289243347,41.41659595306533,1,1111,"86.556552638252683,41.628105594602793 86.72840422200187,41.528960450132104 86.959742892433468,41.416595953065332 87.250568649547475,41.310841132296602 87.501736348873209,41.277792750806377 87.706636314112615,41.277792750806377 88.037120129014895,41.291012103402466 88.281678152042574,41.350499190084875 88.466749088387857,41.376937895277059 88.579113585454635,41.376937895277059 88.737745816607728,41.383547571575107",41.2777927508,87.6152601656,thrust,,,6230.338304539914,6579.9830327347045,1321
11,87.25056864954747,41.3108411322966,1,1111,"86.556552638252683,41.628105594602793 86.72840422200187,41.528960450132104 86.959742892433468,41.416595953065332 87.250568649547475,41.310841132296602 87.501736348873209,41.277792750806377 87.706636314112615,41.277792750806377 88.037120129014895,41.291012103402466 88.281678152042574,41.350499190084875 88.466749088387857,41.376937895277059 88.579113585454635,41.376937895277059 88.737745816607728,41.383547571575107",41.2777927508,87.6152601656,thrust,,,6300.136486258443,6554.601875746148,1473
12,87.50173634887321,41.27779275080638,1,1111,"86.556552638252683,41.628105594602793 86.72840422200187,41.528960450132104 86.959742892433468,41.416595953065332 87.250568649547475,41.310841132296602 87.501736348873209,41.277792750806377 87.706636314112615,41.277792750806377 88.037120129014895,41.291012103402466 88.281678152042574,41.350499190084875 88.466749088387857,41.376937895277059 88.579113585454635,41.376937895277059 88.737745816607728,41.383547571575107",41.2777927508,87.6152601656,thrust,,,6360.416734106264,6546.670264187224,1337
