,lon,lat,Id,ltype,points,Y,X,Type,Name,Source,x_pixel,y_pixel,elev
0,80.89880484748505,35.005688807653584,0,1321,"80.898804847485053,35.005688807653584 80.77320402313525,35.070654751282788 80.517671311527025,35.135620694911999 80.322773480639398,35.204917701449823 80.114882461025942,35.278545770896258 79.893998252686629,35.365167029068537 79.742411050885138,35.447457224332197 79.616810226535335,35.516754230870021",35.2319288752,80.2465066372,strike-slip,,,4775.713173519554,5041.365317589706,5123
1,80.77320402313525,35.07065475128279,0,1321,"80.898804847485053,35.005688807653584 80.77320402313525,35.070654751282788 80.517671311527025,35.135620694911999 80.322773480639398,35.204917701449823 80.114882461025942,35.278545770896258 79.893998252686629,35.365167029068537 79.742411050885138,35.447457224332197 79.616810226535335,35.516754230870021",35.2319288752,80.2465066372,strike-slip,,,4745.568975670779,5056.957144063209,5171
2,80.51767131152702,35.135620694912,0,1321,"80.898804847485053,35.005688807653584 80.77320402313525,35.070654751282788 80.517671311527025,35.135620694911999 80.322773480639398,35.204917701449823 80.114882461025942,35.278545770896258 79.893998252686629,35.365167029068537 79.742411050885138,35.447457224332197 79.616810226535335,35.516754230870021",35.2319288752,80.2465066372,strike-slip,,,4684.241124874992,5072.5489705367145,5037
3,80.3227734806394,35.20491770144982,0,1321,"80.898804847485053,35.005688807653584 80.77320402313525,35.070654751282788 80.517671311527025,35.135620694911999 80.322773480639398,35.204917701449823 80.114882461025942,35.278545770896258 79.893998252686629,35.365167029068537 79.742411050885138,35.447457224332197 79.616810226535335,35.516754230870021",35.2319288752,80.2465066372,strike-slip,,,4637.465645454477,5089.180252108454,5249
4,80.11488246102594,35.27854577089626,0,1321,"80.898804847485053,35.005688807653584 80.77320402313525,35.070654751282788 80.517671311527025,35.135620694911999 80.322773480639398,35.204917701449823 80.114882461025942,35.278545770896258 79.893998252686629,35.365167029068537 79.742411050885138,35.447457224332197 79.616810226535335,35.516754230870021",35.2319288752,80.2465066372,strike-slip,,,4587.571800739265,5106.850988778425,5253
5,79.89399825268663,35.36516702906854,0,1321,"80.898804847485053,35.005688807653584 80.77320402313525,35.070654751282788 80.517671311527025,35.135620694911999 80.322773480639398,35.204917701449823 80.114882461025942,35.278545770896258 79.893998252686629,35.365167029068537 79.742411050885138,35.447457224332197 79.616810226535335,35.516754230870021",35.2319288752,80.2465066372,strike-slip,,,4534.559590729348,5127.640090743099,4954
6,79.74241105088514,35.4474572243322,0,1321,"80.898804847485053,35.005688807653584 80.77320402313525,35.070654751282788 80.517671311527025,35.135620694911999 80.322773480639398,35.204917701449823 80.114882461025942,35.278545770896258 79.893998252686629,35.365167029068537 79.742411050885138,35.447457224332197 79.616810226535335,35.516754230870021",35.2319288752,80.2465066372,strike-slip,,,4498.1786622911695,5147.3897376095365,5221
7,79.61681022653534,35.51675423087002,0,1321,"80.898804847485053,35.005688807653584 80.77320402313525,35.070654751282788 80.517671311527025,35.135620694911999 80.322773480639398,35.204917701449823 80.114882461025942,35.278545770896258 79.893998252686629,35.365167029068537 79.742411050885138,35.447457224332197 79.616810226535335,35.516754230870021",35.2319288752,80.2465066372,strike-slip,,,4468.034464442394,5164.021019181276,4827
8,67.20731371555912,34.73238209222314,1,1321,"67.207313715559124,34.732382092223141 67.76742939741564,34.803583238221854",34.7679826652,67.4873715565,,Herat Fault,"Molnar and Tapponnier, 1975; Tapponnier, et al., 1985; Ruleman, et al., 2007",1489.7553013315785,4975.771705875904,3281
9,67.76742939741564,34.803583238221854,1,1321,"67.207313715559124,34.732382092223141 67.76742939741564,34.803583238221854",34.7679826652,67.4873715565,,Herat Fault,"Molnar and Tapponnier, 1975; Tapponnier, et al., 1985; Ruleman, et al., 2007",1624.1830649986507,4992.85998091833,2719
10,96.65789769335616,18.930363358994743,2,1321,"96.657897693356162,18.930363358994743 96.950410696695414,18.688283632093299 97.202577078884417,18.459652778908598 97.384136874060502,18.257919673157396 97.582507761382516,17.988942198822453 97.727083153837555,17.780484656212877 97.871658546292579,17.635909263757846 98.039769467751924,17.467798342298508 98.275124757794998,17.279514110264049 98.443235679254329,17.161836465242516 98.675228750868214,16.970190014778868",17.9159253062,97.6331485095,right slip,,,8557.895457133769,1183.2872092942916,283
11,96.95041069669541,18.6882836320933,2,1321,"96.657897693356162,18.930363358994743 96.950410696695414,18.688283632093299 97.202577078884417,18.459652778908598 97.384136874060502,18.257919673157396 97.582507761382516,17.988942198822453 97.727083153837555,17.780484656212877 97.871658546292579,17.635909263757846 98.039769467751924,17.467798342298508 98.275124757794998,17.279514110264049 98.443235679254329,17.161836465242516 98.675228750868214,16.970190014778868",17.9159253062,97.6331485095,right slip,,,8628.098577946423,1125.1880748286492,1247
12,97.20257707888442,18.4596527789086,2,1321,"96.657897693356162,18.930363358994743 96.950410696695414,18.688283632093299 97.202577078884417,18.459652778908598 97.384136874060502,18.257919673157396 97.582507761382516,17.988942198822453 97.727083153837555,17.780484656212877 97.871658546292579,17.635909263757846 98.039769467751924,17.467798342298508 98.275124757794998,17.279514110264049 98.443235679254329,17.161836465242516 98.675228750868214,16.970190014778868",17.9159253062,97.6331485095,right slip,,,8688.618509681466,1070.3166700555416,907
13,97.3841368740605,18.257919673157396,2,1321,"96.657897693356162,18.930363358994743 96.950410696695414,18.688283632093299 97.202577078884417,18.459652778908598 97.384136874060502,18.257919673157396 97.582507761382516,17.988942198822453 97.727083153837555,17.780484656212877 97.871658546292579,17.635909263757846 98.039769467751924,17.467798342298508 98.275124757794998,17.279514110264049 98.443235679254329,17.161836465242516 98.675228750868214,16.970190014778868",17.9159253062,97.6331485095,right slip,,,8732.192860530698,1021.9007246675064,570
14,97.58250776138252,17.988942198822453,2,1321,"96.657897693356162,18.930363358994743 96.950410696695414,18.688283632093299 97.202577078884417,18.459652778908598 97.384136874060502,18.257919673157396 97.582507761382516,17.988942198822453 97.727083153837555,17.780484656212877 97.871658546292579,17.635909263757846 98.039769467751924,17.467798342298508 98.275124757794998,17.279514110264049 98.443235679254329,17.161836465242516 98.675228750868214,16.970190014778868",17.9159253062,97.6331485095,right slip,,,8779.8018734956,957.3461308167915,358
15,97.72708315383755,17.780484656212877,2,1321,"96.657897693356162,18.930363358994743 96.950410696695414,18.688283632093299 97.202577078884417,18.459652778908598 97.384136874060502,18.257919673157396 97.582507761382516,17.988942198822453 97.727083153837555,17.780484656212877 97.871658546292579,17.635909263757846 98.039769467751924,17.467798342298508 98.275124757794998,17.279514110264049 98.443235679254329,17.161836465242516 98.675228750868214,16.970190014778868",17.9159253062,97.6331485095,right slip,,,8814.49996769036,907.3163205824885,258
16,97.87165854629258,17.635909263757846,2,1321,"96.657897693356162,18.930363358994743 96.950410696695414,18.688283632093299 97.202577078884417,18.459652778908598 97.384136874060502,18.257919673157396 97.582507761382516,17.988942198822453 97.727083153837555,17.780484656212877 97.871658546292579,17.635909263757846 98.039769467751924,17.467798342298508 98.275124757794998,17.279514110264049 98.443235679254329,17.161836465242516 98.675228750868214,16.970190014778868",17.9159253062,97.6331485095,right slip,,,8849.198061885118,872.6182263877292,336
17,98.03976946775192,17.467798342298508,2,1321,"96.657897693356162,18.930363358994743 96.950410696695414,18.688283632093299 97.202577078884417,18.459652778908598 97.384136874060502,18.257919673157396 97.582507761382516,17.988942198822453 97.727083153837555,17.780484656212877 97.871658546292579,17.635909263757846 98.039769467751924,17.467798342298508 98.275124757794998,17.279514110264049 98.443235679254329,17.161836465242516 98.675228750868214,16.970190014778868",17.9159253062,97.6331485095,right slip,,,8889.544683041817,832.2716052310327,267
