,lon,lat,Id,ltype,Name,Source,points,Y,X,Type,x_pixel,y_pixel,elev
0,78.34733467608011,34.27814555117611,0,1411,Longmu Co- Gozha Co Fault,"Avouac and Peltzer, 1993; Taylor, et al., 2003","78.347334676080109,34.27814555117611 78.585283022809747,34.284755227474157 78.803402340645249,34.284755227474157 79.01491198218271,34.311193932666335 79.173544213335802,34.370681019348751 79.444540941555672,34.377290695646792 79.715537669775543,34.449997134925297 79.927047311313004,34.502874545309659 80.118727923956328,34.582190660886205 80.270750478811365,34.648287423866662",34.3743891269,79.3255766209,strike-slip,4163.360332284392,4866.754936007174,4058
1,78.58528302280975,34.28475522747416,0,1411,Longmu Co- Gozha Co Fault,"Avouac and Peltzer, 1993; Taylor, et al., 2003","78.347334676080109,34.27814555117611 78.585283022809747,34.284755227474157 78.803402340645249,34.284755227474157 79.01491198218271,34.311193932666335 79.173544213335802,34.370681019348751 79.444540941555672,34.377290695646792 79.715537669775543,34.449997134925297 79.927047311313004,34.502874545309659 80.118727923956328,34.582190660886205 80.270750478811365,34.648287423866662",34.3743891269,79.3255766209,strike-slip,4220.467935508642,4868.341258318959,4490
2,78.80340234064525,34.28475522747416,0,1411,Longmu Co- Gozha Co Fault,"Avouac and Peltzer, 1993; Taylor, et al., 2003","78.347334676080109,34.27814555117611 78.585283022809747,34.284755227474157 78.803402340645249,34.284755227474157 79.01491198218271,34.311193932666335 79.173544213335802,34.370681019348751 79.444540941555672,34.377290695646792 79.715537669775543,34.449997134925297 79.927047311313004,34.502874545309659 80.118727923956328,34.582190660886205 80.270750478811365,34.648287423866662",34.3743891269,79.3255766209,strike-slip,4272.816571797538,4868.341258318959,4935
3,79.01491198218271,34.311193932666335,0,1411,Longmu Co- Gozha Co Fault,"Avouac and Peltzer, 1993; Taylor, et al., 2003","78.347334676080109,34.27814555117611 78.585283022809747,34.284755227474157 78.803402340645249,34.284755227474157 79.01491198218271,34.311193932666335 79.173544213335802,34.370681019348751 79.444540941555672,34.377290695646792 79.715537669775543,34.449997134925297 79.927047311313004,34.502874545309659 80.118727923956328,34.582190660886205 80.270750478811365,34.648287423866662",34.3743891269,79.3255766209,strike-slip,4323.578885774651,4874.686547566097,5303
4,79.1735442133358,34.37068101934875,0,1411,Longmu Co- Gozha Co Fault,"Avouac and Peltzer, 1993; Taylor, et al., 2003","78.347334676080109,34.27814555117611 78.585283022809747,34.284755227474157 78.803402340645249,34.284755227474157 79.01491198218271,34.311193932666335 79.173544213335802,34.370681019348751 79.444540941555672,34.377290695646792 79.715537669775543,34.449997134925297 79.927047311313004,34.502874545309659 80.118727923956328,34.582190660886205 80.270750478811365,34.648287423866662",34.3743891269,79.3255766209,strike-slip,4361.650621257484,4888.963448372161,5617
5,79.44454094155567,34.37729069564679,0,1411,Longmu Co- Gozha Co Fault,"Avouac and Peltzer, 1993; Taylor, et al., 2003","78.347334676080109,34.27814555117611 78.585283022809747,34.284755227474157 78.803402340645249,34.284755227474157 79.01491198218271,34.311193932666335 79.173544213335802,34.370681019348751 79.444540941555672,34.377290695646792 79.715537669775543,34.449997134925297 79.927047311313004,34.502874545309659 80.118727923956328,34.582190660886205 80.270750478811365,34.648287423866662",34.3743891269,79.3255766209,strike-slip,4426.689836040659,4890.549770683945,5288
6,79.71553766977554,34.4499971349253,0,1411,Longmu Co- Gozha Co Fault,"Avouac and Peltzer, 1993; Taylor, et al., 2003","78.347334676080109,34.27814555117611 78.585283022809747,34.284755227474157 78.803402340645249,34.284755227474157 79.01491198218271,34.311193932666335 79.173544213335802,34.370681019348751 79.444540941555672,34.377290695646792 79.715537669775543,34.449997134925297 79.927047311313004,34.502874545309659 80.118727923956328,34.582190660886205 80.270750478811365,34.648287423866662",34.3743891269,79.3255766209,strike-slip,4491.729050823835,4907.999316113578,5366
7,79.927047311313,34.50287454530966,0,1411,Longmu Co- Gozha Co Fault,"Avouac and Peltzer, 1993; Taylor, et al., 2003","78.347334676080109,34.27814555117611 78.585283022809747,34.284755227474157 78.803402340645249,34.284755227474157 79.01491198218271,34.311193932666335 79.173544213335802,34.370681019348751 79.444540941555672,34.377290695646792 79.715537669775543,34.449997134925297 79.927047311313004,34.502874545309659 80.118727923956328,34.582190660886205 80.270750478811365,34.648287423866662",34.3743891269,79.3255766209,strike-slip,4542.491364800947,4920.689894607855,5353
8,80.11872792395633,34.582190660886205,0,1411,Longmu Co- Gozha Co Fault,"Avouac and Peltzer, 1993; Taylor, et al., 2003","78.347334676080109,34.27814555117611 78.585283022809747,34.284755227474157 78.803402340645249,34.284755227474157 79.01491198218271,34.311193932666335 79.173544213335802,34.370681019348751 79.444540941555672,34.377290695646792 79.715537669775543,34.449997134925297 79.927047311313004,34.502874545309659 80.118727923956328,34.582190660886205 80.270750478811365,34.648287423866662",34.3743891269,79.3255766209,strike-slip,4588.494711842705,4939.725762349272,5085
9,80.27075047881137,34.64828742386666,0,1411,Longmu Co- Gozha Co Fault,"Avouac and Peltzer, 1993; Taylor, et al., 2003","78.347334676080109,34.27814555117611 78.585283022809747,34.284755227474157 78.803402340645249,34.284755227474157 79.01491198218271,34.311193932666335 79.173544213335802,34.370681019348751 79.444540941555672,34.377290695646792 79.715537669775543,34.449997134925297 79.927047311313004,34.502874545309659 80.118727923956328,34.582190660886205 80.270750478811365,34.648287423866662",34.3743891269,79.3255766209,strike-slip,4624.9801250137525,4955.58898546712,5201
