,Id,lon,lat,X,Y,Type,ltype,Name,Source,x_pixel,y_pixel,elev
63,5,95.51974413508587,29.947179104984265,94.0737464569,30.4825738056,strike-slip,1311,Jiali fault,"Armijo, et al., 1986; 1989",8284.738603105196,3827.3229887548223,4318
64,6,97.52244309549405,38.609269858931064,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",8765.386353680062,5906.224770034679,4554
65,6,97.65834905180355,38.4988462694296,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",8798.003783199561,5879.723108550086,4599
66,6,97.82823149719043,38.396916802197474,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",8838.775570098935,5855.260036410463,4691
67,6,98.10853753207877,38.30348145723469,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",8906.0490184829,5832.835553615806,4507
68,6,98.43980830058318,38.23552847907994,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",8985.55400293668,5816.526838856056,4335
69,6,98.74559670227956,38.2270343568106,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",9058.943219355551,5814.488249511089,4525
70,6,99.03439685943725,38.21854023454125,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",9128.25525708449,5812.449660166119,4156
71,6,99.30620877205625,38.21004611227191,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",9193.490116123487,5810.411070821151,4024
72,6,99.47609121744313,38.21004611227191,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",9234.26190302286,5810.411070821151,4126
73,6,99.73091488552345,38.1505872563865,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",9295.419583371922,5796.14094540637,4185
74,6,100.14712687672129,38.02317542234635,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",9395.310461275387,5765.56210523184,4150
75,6,100.75870368011404,37.844798854690126,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",9542.08889411313,5722.751728987498,3537
76,6,100.97955085911698,37.8023282433434,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",9595.092217082318,5712.558782262653,3767
77,6,101.09846857088779,37.8023282433434,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",9623.632467911877,5712.558782262653,3907
78,6,101.25136277173598,37.8023282433434,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",9660.327076121315,5712.558782262653,3661
79,6,101.34479811669877,37.8023282433434,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",9682.751558915972,5712.558782262653,4020
80,6,101.47220995073891,37.742869387458,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",9713.3303990905,5698.288656847873,4112
81,6,101.80348071924332,37.513528086185715,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",9792.83538354428,5643.246744533718,4741
82,6,102.06679850959299,37.377622129876215,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",9856.03165323831,5610.629315014219,3647
83,6,102.27915156632658,37.301175029452125,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",9906.996386862525,5592.282010909502,3255
84,6,102.57644584575361,37.25021029583606,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",9978.347013936429,5580.05047483969,3252
85,6,103.24748150503177,37.173763195411965,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",10139.395572188956,5561.7031707349715,3472
86,6,104.09689373196615,37.037857239102465,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",10343.254506685824,5529.085741215472,1893
87,6,104.64051755720416,36.91893952733165,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",10473.724224763822,5500.545490385911,1906
88,6,105.00576481478593,36.81701006009953,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",10561.383566597473,5476.082418246287,2172
89,6,105.42197680598379,36.64712761471265,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",10661.274444500941,5435.310631346913,1855
90,6,105.78722406356557,36.4432686802484,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",10748.933786334595,5386.384487067665,1854
91,6,105.96560063122179,36.29037447940021,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",10791.744162578936,5349.689878858227,1787
92,6,106.08451834299261,36.162962645360054,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",10820.284413408499,5319.111038683698,1854
93,6,106.17795368795538,36.06103317812793,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",10842.708896203152,5294.647966544074,1718
94,6,106.18644781022473,36.010068444511866,101.914885399,37.4560288965,strike-slip,1311,Haiyuan Fault,"Burchfiel, et al., 1991; Lassere, et al., 2001, 2002",10844.747485548123,5282.416430474262,1819
